timestamp,visitorid,event,itemid,categoryid
2024-01-01 10:00:00,1,view,1001,2
2024-01-01 10:01:00,1,view,1002,2
2024-01-01 10:02:00,1,addtocart,1002,2
2024-01-01 10:03:00,2,view,1004,3
2024-01-01 10:04:00,2,view,1005,3
2024-01-01 10:05:00,2,addtocart,1004,3
2024-01-01 10:06:00,3,view,1006,6
2024-01-01 10:07:00,3,view,1007,6
2024-01-01 10:08:00,3,transaction,1006,6
2024-01-01 10:09:00,4,view,1008,5
2024-01-01 10:10:00,4,view,1009,5
2024-01-01 10:11:00,4,addtocart,1009,5
2024-01-01 10:12:00,5,view,1010,4
2024-01-01 10:13:00,5,view,1011,1
2024-01-01 10:14:00,5,transaction,1011,1
2024-01-01 10:15:00,1,view,1012,2
2024-01-01 10:16:00,1,addtocart,1012,2
2024-01-01 10:17:00,2,view,1014,3
2024-01-01 10:18:00,2,transaction,1004,3
2024-01-01 10:19:00,3,view,1013,6
2024-01-01 10:20:00,3,addtocart,1013,6
2024-01-01 10:21:00,4,view,1001,2
2024-01-01 10:22:00,4,view,1003,2
2024-01-01 10:23:00,5,view,1015,2
2024-01-01 10:24:00,5,addtocart,1015,2
2024-01-01 10:25:00,1,view,1003,2
2024-01-01 10:26:00,1,transaction,1002,2
2024-01-01 10:27:00,2,view,1001,2
2024-01-01 10:28:00,3,view,1008,5
2024-01-01 10:29:00,4,transaction,1009,5
2024-01-01 10:30:00,5,view,1006,6
